,pricingDate,AAPL,GOOGL,MSFT,NVDA,AMD,ORCL,CRM,INTC,CSCO,JPM,GS,BAC,MS,AXP,C,JNJ,UNH,PFE,ABBV,TSLA,AMGN,GILD,PG,KO,NKE,PEP,COST,WMT,TGT,XOM,CVX,NEE,DUK,SO,SLB,MMM,CAT,HON,GE,ADP,AMZN,META,HD,VZ,MRK
144,2018-11-23,41.39591744001075,51.505,98.073686068633,35.935636665,19.38,44.86950004387,122.03,40.724708062376,38.272732567756,91.64175445017,168.60552756383,23.936244680487,37.366200516,98.45230413974,52.1307481188,124.42883696991,242.835475959776,34.209255809412,68.4748935067,21.722,166.572635473818,54.451974293916,81.167369685624,41.937601238322,67.959636374667,100.156549505919,206.403358340872,87.36336489651,60.48619619616,58.988093922107,92.12601668112,39.67973372499,71.432248102925,37.536408415476,40.053124671701,163.47030716496,108.852052702536,130.06918092246,44.514461714352,126.952275438659,75.103,131.73,149.392730809465,45.5480245108,61.11011489901
145,2018-11-26,41.95574382363849,52.797,101.308871211093,37.93068407985,20.08,44.464108257026,126.41,41.52100123678,39.157800249498,93.884464052748,173.277621505842,24.459877767676,38.407041756,102.12075579768,53.802308949168,124.464053512093,247.049500349568,34.367852266572,68.9626861616,23.066666,168.06908174982,54.738176291256,81.522044667864,41.809273205157,69.119389576193,100.547074133574,205.83121415934,87.40929726501501,62.1925625328,60.152384026014,93.245153151366,39.61260509409,71.621636195878,37.478937973895,40.277705487199,166.012071087342,111.05899425504,130.03286396562,44.573265494688,130.340312599915,79.0665,136.38,150.250953781838,45.95969662865,61.74028482632
146,2018-11-27,41.864441666652,52.614,101.946392989166,38.09920982421,21.05,43.708605381544,127.54,42.063530652308,39.630409205768,94.279730879256,172.662403028745,24.619630234954,38.207547185,102.52111981111,53.574368835936,126.092818448058,251.68121438152,34.946729335206,70.1141966912,22.928,170.49107572254,55.147036287456,82.213660883232,42.237033315707,68.530006801647,101.050416986996,209.170285120412,87.308246054304,64.105489004928,60.207082218815,93.43167589640701,39.829654334,72.32154871331299,37.840180749547,39.90628336926,166.701503785243,110.88101509758,129.73324907169,43.750012569984,130.944031987692,79.071,135.0,153.259158014898,47.10927159925,62.47684707902
147,2018-11-28,43.474242855624496,54.5895,105.733462655928,39.67046455839,21.34,44.399614109119,140.64,42.754818133384,40.635777349106,95.328047245212,176.853021640855,25.232014692853,39.300430487,105.10951971189,55.364120836128,128.927749850116,260.77756658856,35.60490463242,71.1217684046,23.191333,174.227866423308,56.578046274156,82.470800245356,42.527910190881,70.973093463878,102.83815194915,216.045394711608,89.531372689946,64.554532777728,61.301046074835,95.807813474538,39.84084243915,72.13216062036,37.864810938796,40.087675566393,169.733346372398,116.371672105221,131.0134218003,45.514125980064,133.908564503791,83.8875,136.76,157.923064094389,46.6509950907,63.20522530669
148,2018-11-29,43.14026917612125,54.729,104.848544366961,39.037860688092,21.43,44.13242406779,139.72,41.73976309788,40.678741799676,94.571884620588,174.435896063025,24.885884347084,38.606536327,103.63841473231,54.79004943984,128.408305897565,262.26268531624,36.088623826758,71.8974386919,22.744666,175.049614378338,56.986906270356,82.302329628792,42.234733195626,70.668895902822,102.638550472793,216.6644359572,89.37520263702899,63.916890620352,61.777701754958,96.38360107879501,39.881372287824,72.13216062036,38.209633588282,39.64715165907,169.916087569432,115.891128380079,132.32083224654,46.690201586784,131.421601055635,83.6785,138.68,156.347660704618,46.17718378525,63.76173900873
149,2018-11-30,42.907208406971506,55.4825,105.514611896291,40.54370597518351,21.3,44.924780742076,142.76,43.148589483364,41.134164975718,95.542866172662,170.711732205585,25.20538928164,38.502452203,104.53225066927,54.697184949264,129.33274005041,261.992647396504,36.659571072534,75.3839566843,23.365333,180.13580172105,58.826776253256,83.800831428756,43.45917829848,71.622334863,105.823495769446,216.927059515936,89.70591569026499,63.728292235776,62.12151896685,96.456588239898,40.914883459917,72.930884316727,38.858228571839,38.95613376523,172.707044033224,120.732161462991,133.23783540675,44.102835252,132.836286785202,84.5085,140.61,160.495332905936,46.8374126535,64.93205458802
150,2018-12-03,44.406485932223504,55.818,106.656441946571,42.183514434438,23.71,45.910619860083,144.15,43.866128387772,41.881746415636,96.445105667952,171.553250000295,25.329641200634,39.387167257,104.61604778836,55.009547326656,128.725254749969,266.620538559287,36.469255323942,74.8961640294,23.899333,175.534013172882,57.943638661464,82.745673356592,42.846955747053,74.31103273725,103.254711551982,217.677412540896,90.716427797375,64.967653048704,63.465531704246,97.85956366998899,41.090512809423,73.795482132382,38.989589581167,39.99266060599,173.404783149172,123.651019645335,135.26250575058,45.925752442416,132.827276048071,88.618,141.09,161.759215851402,45.1751893852,64.83384628766
151,2018-12-04,42.453100310380755,53.1235,103.259497546988,38.975840700979504,21.12,44.915567292375,139.24,41.7835154701,40.68733468979,92.140134361854,165.000153981915,23.953994954629,37.400895224,100.22135443164,52.561301666016,128.566780323767,259.376073117345,35.795220381012,72.4092211495,23.98,171.061974301824,56.87242547142,82.736806482036,42.752104365846,72.26113896787501,102.23066919502,212.30300899962,88.01560452928099,62.246447785536,62.066820774049,95.077941863508,41.018459742959,74.14955552355501,38.784338004092,38.525680913992,167.95577291034,115.081323213636,129.54258504828,42.809152084608,129.403195938291,83.42,137.93,156.02723967619,45.12081759605,64.00725975963
152,2018-12-06,41.979770707056,53.904,103.897019325061,39.268575040150495,21.3,43.008383204268,142.06,42.326044885628,41.580995261646,90.387211913862,164.803203008685,23.45420966382,36.958537697,100.78931268325,50.704011854496,128.461130706299,257.793092236715,35.668343215284,72.2332959297,24.204,172.143221611074,57.395766266556,82.94961147138,42.579647309106,72.02277922725,102.202240798056,218.72790677584,87.535301092902,62.453007921024,61.254161909577,93.999353816097,41.128791000982,73.968401695513,38.193213462116,36.953916960112,168.354480976596,114.235922215701,128.52571025676,43.22077854696,129.015734241658,84.9595,139.63,156.614678228308,45.1130501976,64.13820416011
153,2018-12-07,40.482895870145754,52.329,99.738854891958,36.6190811907045,19.46,42.3818686246,135.95,40.462193829056,39.905381689416,88.754588065242,160.846278910155,22.695606992045,35.839633364,99.32751849468,49.26039113736,128.038532236427,250.651054969402,34.827781992336,69.5384414264,23.864333,165.595187906256,55.72761748206,81.97425527022,42.329584576833,69.92521350975,101.310026782188,210.905476490632,86.075917577794,60.899316467136,60.668109843852,93.658747064283,41.173824167522,74.10014993408899,38.570876363934,37.582622541664,164.666431363728,109.946624520915,125.93812708191,41.221450015536,125.546600446223,81.4565,137.42,153.793193061317,44.8023542596,62.78784003016
