,pricingDate,MSFT,AMZN,NVDA,AAPL,GOOGL,ADBE,JNJ,PFE,MRK,ABT,PG,KO,JPM,GS,CAT,CVX,XOM,BA,TSLA,NEE,NKE,VZ,CRM,UNH,WMT,QCOM,BAC,V,MCD,INTC
1061,2022-07-19,256.502381829498,118.21,169.76567491776,149.9012747136,113.81,387.83,165.776836539441,48.999474976562,89.18200960484,107.861655386427,139.458636910944,60.230820154401,110.257526466432,306.47200250513,175.622953158717,138.265908888954,84.626162126506,156.13,245.53,76.626180046656,107.51974066096,46.22150316162,173.81,524.065855560685,127.053104121936,142.726310406716,32.199453530925,211.579470921996,249.5452888053,38.517582636938
1062,2022-07-20,259.210417610382,122.77,177.90827290846,151.926431007744,113.9,401.49,164.830588651919,48.474855330132,86.56525726585,106.193641066797,137.04783431508,59.23869245955,110.238277596588,309.74823205557,176.092611733101,140.092116523128,85.556119952072,158.38,247.5,76.033984812544,109.41037077424,44.957168684652,182.45,510.331783650031,128.112206873184,146.929555213428,32.20910853948,211.292294817122,247.677347462196,38.843191242024
1063,2022-07-21,261.750436572744,124.63,180.336065929,154.21962269376,114.34,408.91,165.409924093259,48.761011500912,87.03839698766,108.607355905791,137.177732671385,59.103840151512,110.988983520504,314.652940411964,177.090636203667,139.02125131356,84.12762803445,161.41,271.706666,76.567931335104,109.91256939808,43.665348675576,185.35,513.269185296158,129.98524970178,150.948786998648,32.489103787575,214.084834871414,246.597443873214,38.891074860419
1064,2022-07-22,257.322699237576,122.42,173.03270503182,152.968790865024,107.9,401.9,166.192026939068,48.865935430198,87.00942924959,107.14539041388,139.37031559751,59.325383229003,110.450015164872,312.137952433538,174.771696992646,137.864334435366,83.485286031224,158.16,272.243333,77.9076517008,107.45081143808,40.72439674002,182.47,512.237656289993,129.651828465276,148.85684949116,32.276693599365,211.61908141922,247.103344653638,37.54075682168
1065,2022-07-25,255.810547870878,121.14,170.08538428672,151.83708587712,107.51,391.96,166.520317022494,49.381016537602,87.41497758257,106.45856098815,140.315562458995,59.903321692023,110.892739171284,312.321035849592,177.892969601573,141.966130639872,86.265572313844,156.64,268.433333,78.616344358016,107.60836394752,41.008413905136,177.29,520.155869423031,129.465504833112,148.4210291771,32.566343856015,212.183531004662,243.591225774156,37.502449926964
1066,2022-07-26,248.96139168054,114.81,165.17984365674,150.49690891776,105.02,379.26,167.698299086552,49.88655910598,88.14882694701,107.037460075551,140.588417223135,60.885817079157,109.160340885324,306.95380096843,177.325465490859,140.857020244248,85.930020521114,155.92,258.86,77.577575668672,103.5907749568,41.155003409712,170.46,522.238575606907,119.619771849288,145.244383332396,31.909803274275,210.420863878194,250.119291613858,37.310915453384
1067,2022-07-27,265.604940056484,120.97,177.7384273062,155.649144783744,113.06,392.78,167.23483073348,49.55271024007,88.09089147087,107.920526480061,141.92345660482,60.693170924817,110.911988041128,312.725746558764,181.258856051325,142.711911767964,87.789936172246,156.09,274.82,78.033857242496,106.21008542624,41.145841565676,180.3,525.205449510353,124.140571556004,148.585672406856,32.431173736245,208.420533768382,251.870486623018,38.479275742222
1068,2022-07-28,273.185463574506,122.28,179.67666535552,156.20507004096,114.22,403.5,168.20038980238,48.754868349376,86.84527873386,108.283564890804,144.28170135203,61.704563235102,110.498137339482,317.129384513326,183.793055442272,143.792338274046,88.815765938592,159.09,280.9,82.072434576768,110.51323834032,41.73219958398,181.29,531.964420522177,127.2394277541,141.83529998686,32.17048850526,209.29196470731,256.316576174052,38.029169729309
1069,2022-07-29,277.464950775684,134.95,181.46503963814,161.327524196736,116.32,410.12,168.509368704428,48.553004738308,86.26592397246,106.792163852076,135.365197452455,61.810518619989,111.027481260192,321.253579359174,193.978775774225,156.594914306292,92.928672198054,159.31,297.15,82.023893983808,113.16208990528,42.318557602284,184.02,532.799467812882,129.49492435398,140.489099461208,32.643583924455,210.044564154566,256.229016423594,34.773083678449
1070,2022-08-01,274.766798337066,135.39,184.24251478098,160.334800523136,114.86,411.09,167.920377672399,48.649130267388,85.48379504457,107.459369579928,139.25337784145,62.147649390084,109.920671244162,319.991267385328,190.661812092638,153.468370346214,90.579809648944,169.07,297.276666,82.819959708352,112.5515739312,42.382690510536,182.98,525.961904114874,129.975443194824,142.784419781924,32.547033838905,209.301867331616,257.065698483526,35.395570717584
1071,2022-08-02,271.614012154212,134.16,185.09174279228,158.845715012736,115.13,409.96,166.964474194188,47.764775399852,84.59545107709,106.595926873296,138.327620605975,61.300006310988,108.207521828046,315.944160293608,179.556343719183,152.158472723796,90.186734691746,163.28,300.586666,83.169451977664,110.06027487568,41.539800859224,183.79,526.040496801058,130.112734292208,142.397023947204,31.90014826572,204.251528935556,253.97192063401,34.485781968079
