,pricingDate,AAPL,AMZN,NVDA,JPM,PG,PFE,JNJ,KO,XOM,NEE,GOOGL,MSFT,TSLA,NKE,BAC
616,2020-10-09,114.893262018591,164.3325,137.2895230560325,92.9301985128,132.769247404608,31.172413500358,139.409400886481,46.384090220428,29.994207345522,70.962197788452,75.5225,210.042544521614,144.666666,127.15090802046,23.621621763928
617,2020-10-12,122.19134645732,172.1465,141.91064685438,94.06886892936,134.227739696976,31.197832701364,140.212780225232,46.639700243292,29.899234322839,71.608778178324,78.2295,215.48315350116,147.433333,125.67534396342,23.919686391864
618,2020-10-13,118.94993614133,172.1815,142.1326004528975,92.54451982332,133.967626421904,31.26561723738,136.999262870228,45.845483386536,29.545243965566,70.624851498084,78.3535,216.904135452884,148.883333,125.4229448484,23.239726459385
619,2020-10-14,119.038338240857,168.1855,140.6063577305075,92.03028157068,133.809700504896,31.231724969372,136.75917249313,45.754194092656,29.484806587495,70.430408844608,78.172,214.957584834084,153.766666,123.92796547482,22.000895349526
620,2020-10-15,118.566860376713,166.9325,139.3569335411,93.40770546168,133.614615548592,30.96905989231,135.918856173287,45.635518010612,29.743823922085,69.919704043912,77.7735,213.789654462804,149.626666,125.228791683,22.494564889545
621,2020-10-16,116.906865396706,163.6355,137.775825884245,93.21486611694,134.134842098736,32.15528927259,136.75917249313,45.672033728164,29.44163703173,71.59237940032,78.385,213.789654462804,146.556666,124.258025856,22.578395566152
622,2020-10-19,113.920838923794,160.3605,134.6460307590825,91.6446028812,131.830981662384,32.02819326756,133.268627779936,45.297747623256,28.854531073326,70.17505644426,76.4975,208.495036779668,143.61,123.70468933461,22.094040545756
623,2020-10-20,115.423674615753,160.8505,136.119902407665,92.16802395978,132.360497972352,31.765528190498,133.481015421215,45.8728701747,29.09628058561,70.512402734628,77.554,208.91354516271,140.646666,124.73370111123,22.485250369922
624,2020-10-21,114.795037463561,159.247,134.9153677100925,91.24974136578,133.0758094788,31.418132443416,132.908492214289,45.635518010612,28.630049383348,69.736974803296,79.2995,209.05953645912,140.88,125.64622098861,22.401419693315
625,2020-10-22,113.694922447225,158.82,133.28188897943,94.47291327072,132.132989915805,31.714689788486,133.970430420684,46.265414138384,30.097814279358,70.812266103844,80.333,209.147131236966,141.93,126.21897282654,23.165210302401
626,2020-10-23,112.997528106512,160.22,135.5687592023575,95.32691608314,133.001732797542,32.350169813636,134.118178345052,46.119351268176,29.493440498648,70.999680709604,81.649,210.451320151562,140.21,126.18984985173,23.19315386127
627,2020-10-26,113.007350562015,160.352,131.0897854614875,92.96692981656,131.99287009617,32.129870071584,132.945429195381,45.46206835224,28.794093695255,70.90128804158,79.2145,204.465676998752,140.093333,124.61720921199,22.857831154842
628,2020-10-27,114.52983116498,164.3165,133.6385110534525,91.21301006202,132.983050154924,31.714689788486,132.188221082995,45.55335764612,28.336496404146,71.011394122464,79.944,207.55095972955,141.56,124.24831819773,22.215129300855
629,2020-10-28,109.22570519336,158.139,125.95991408901,88.65100162476,128.592629139694,30.03702252209,127.765017597228,43.782345344848,27.257257510021,69.774457724448,75.54,197.263439709192,135.34,118.51109216016,21.861177555181
630,2020-10-29,113.272556860596,160.5505,129.92016481312,89.22951965898,128.508557247913,29.892980383056,126.684610900287,43.837118921176,28.466005071441,69.352774861488,77.844,199.248921340368,136.943333,119.26828950522,21.926379192542
631,2020-10-30,106.927250605658,151.8075,125.03219792442,90.02842551576,128.06951514639,30.062441723096,126.610736938103,43.873634638728,28.163818181086,68.603116438448,80.8055,197.059051894218,129.346666,116.56956050616,22.07541150651
