Date,MSFT,AMZN,NVDA,AAPL,GOOGL,ADBE,JNJ,PFE,MRK,ABT,PG,KO,JPM,GS,CAT,CVX,XOM,BA,TSLA,NEE,NKE,VZ,CRM,UNH,WMT,QCOM,BRK-B,V,MCD,INTC
2020-02-03,177.56304931640625,103.96399688720703,62.65818405151367,77.94587707519531,73.95549774169922,366.0899963378906,137.49566650390625,31.240646362304688,72.07872009277344,82.48914337158203,114.89392852783203,52.65587615966797,122.3271713256836,217.4576416015625,122.27378845214844,91.93638610839844,49.87724685668945,334.75830078125,49.871334075927734,62.15769958496094,95.8140869140625,49.02796936035156,185.72000122070312,273.8659973144531,109.73863983154297,80.2982406616211,227.3800048828125,197.1999969482422,194.20254516601562,59.01564025878906
2020-02-10,178.97280883789062,106.74349975585938,72.17184448242188,79.3320083618164,75.9365005493164,379.6700134277344,135.90243530273438,29.97623634338379,70.02005767822266,84.1695327758789,114.94859313964844,53.33198547363281,122.58580780029297,216.6170196533203,126.50944519042969,92.89842224121094,49.21189880371094,338.4761657714844,53.33533477783203,64.2285385131836,99.76457214355469,47.858299255371094,189.9499969482422,282.9185485839844,111.09564971923828,82.30065155029297,226.8000030517578,204.5436553955078,199.23175048828125,60.42916488647461
2020-02-17,172.44540405273438,104.79850006103516,73.2377700805664,76.42678833007812,74.1729965209961,372.95001220703125,135.72137451171875,29.32761573791504,69.75740814208984,82.0948486328125,115.45892333984375,53.49211883544922,121.11431121826172,210.71463012695312,125.79431915283203,93.0706787109375,48.6673583984375,330.3800048828125,60.06666564941406,64.01406860351562,96.59452819824219,47.604732513427734,189.5,285.42779541015625,111.74589538574219,79.94001007080078,229.3300018310547,203.39825439453125,198.11207580566406,57.797122955322266
2020-02-24,156.8631134033203,94.1875,67.26061248779297,66.73703002929688,66.9625015258789,345.1199951171875,121.73554229736328,27.439220428466797,64.86066436767578,72.31292724609375,103.18401336669922,47.585121154785156,103.54602813720703,183.4410858154297,113.90338897705078,79.69190979003906,42.33805465698242,275.1099853515625,44.53266525268555,58.28811264038086,86.12089538574219,44.30021286010742,170.39999389648438,241.4248046875,101.47409057617188,71.92121887207031,206.33999633789062,177.04928588867188,178.1971435546875,49.874046325683594
2020-03-02,156.4371337890625,95.05449676513672,66.29657745361328,70.56263732910156,64.78700256347656,336.7699890136719,129.389892578125,28.752885818481445,69.63880920410156,76.7345199584961,110.86607360839844,49.159725189208984,96.38494110107422,177.28204345703125,111.30885314941406,81.38241577148438,39.2515869140625,262.3299865722656,46.89866638183594,63.010833740234375,85.37429809570312,46.5168571472168,164.0800018310547,268.8000183105469,110.47367095947266,71.1588363647461,205.97999572753906,179.58192443847656,183.6434326171875,50.0986213684082
2020-03-09,153.78411865234375,89.25,60.01679611206055,67.86248779296875,60.7135009765625,335.5,122.33871459960938,26.856281280517578,65.02164459228516,76.65000915527344,103.94947814941406,43.11928939819336,92.6661605834961,162.86776733398438,91.35009002685547,71.22241973876953,31.374929428100586,170.1999969482422,36.44133377075195,51.360023498535156,73.02613830566406,44.308387756347656,147.77999877929688,257.5980224609375,107.52407836914062,70.18798065185547,196.39999389648438,171.27297973632812,163.57620239257812,48.894893646240234
2020-03-16,132.98654174804688,92.30449676513672,51.272438049316406,55.96574783325195,53.410499572753906,295.3399963378906,109.22026824951172,23.818422317504883,60.95472717285156,63.83591079711914,93.3421859741211,34.370792388916016,74.46467590332031,127.23670196533203,87.55451965332031,50.70604705810547,26.94688606262207,95.01000213623047,28.50200080871582,44.44974136352539,65.17084503173828,42.36985397338867,139.35000610351562,196.4700164794922,107.40156555175781,56.392967224121094,170.05999755859375,143.0245819091797,137.12771606445312,41.16945266723633
2020-03-23,144.94422912597656,95.00499725341797,62.979740142822266,60.48226547241211,55.51300048828125,305.8299865722656,112.19925689697266,25.370193481445312,61.27078628540039,69.99419403076172,100.39549255371094,38.41810607910156,81.26905822753906,145.55783081054688,96.66754913330078,58.72305679321289,30.41195297241211,162.0,34.29066848754883,53.768531799316406,80.41764831542969,43.16326904296875,146.0,230.57337951660156,103.72149658203125,61.65174102783203,179.66000366210938,157.37283325195312,151.46009826660156,47.044376373291016
2020-03-30,148.94300842285156,95.32949829101562,60.78182601928711,58.9368896484375,54.6349983215332,293.6099853515625,122.22940063476562,27.619844436645508,65.1316909790039,74.58475494384766,104.86988067626953,39.33346939086914,74.95516967773438,135.06893920898438,105.12963104248047,64.12750244140625,32.272064208984375,124.5199966430664,32.000667572021484,51.37857437133789,76.19530487060547,44.74190902709961,134.30999755859375,218.24826049804688,113.09222412109375,60.39260482788086,178.33999633789062,147.91448974609375,148.0616912841797,48.62540054321289
2020-04-06,159.8937225341797,102.13800048828125,65.52655029296875,65.426025390625,60.32849884033203,318.70001220703125,128.6610870361328,29.056671142578125,70.46183013916016,80.77120208740234,104.48713684082031,43.97307586669922,92.5928726196289,169.3854522705078,114.627685546875,71.98229217529297,35.49843978881836,151.83999633789062,38.20000076293945,56.858585357666016,83.85736083984375,46.983089447021484,154.5500030517578,251.1913299560547,115.28819274902344,66.27169036865234,193.83999633789062,169.18844604492188,169.64346313476562,51.329307556152344
2020-04-13,172.9261016845703,118.75,72.84548950195312,69.04168701171875,63.95000076293945,344.1099853515625,138.49082946777344,30.304651260375977,71.29037475585938,90.13067626953125,113.62724304199219,43.12950897216797,85.76283264160156,168.67759704589844,106.6240005493164,74.42410278320312,35.57252502441406,154.0,50.259334564208984,57.085750579833984,86.87191772460938,48.3316535949707,162.6199951171875,276.32659912109375,125.0564193725586,70.52129364013672,191.1999969482422,165.14598083496094,171.8598175048828,54.221858978271484
2020-04-20,169.00477600097656,120.51100158691406,72.16517639160156,69.08318328857422,63.83000183105469,344.1000061035156,141.0780792236328,30.69054412841797,69.55638885498047,88.67192077636719,108.2416000366211,40.76932907104492,81.735107421875,162.7115020751953,105.51191711425781,74.2874984741211,35.99227523803711,128.97999572753906,48.34333419799805,55.56507873535156,85.38395690917969,47.89348602294922,153.97999572753906,277.02093505859375,122.51972198486328,70.40092468261719,186.52000427246094,162.98353576660156,169.9390106201172,53.23371887207031
2020-04-27,169.02415466308594,114.302001953125,70.46812438964844,70.57239532470703,65.86599731445312,343.8399963378906,135.09278869628906,30.90401268005371,66.34463500976562,84.70307159423828,107.16544342041016,40.921878814697266,84.02381134033203,162.80345153808594,102.58821105957031,76.3621597290039,35.50667190551758,133.3699951171875,46.75466537475586,52.632667541503906,82.64958953857422,46.98405456542969,156.3699951171875,270.5730285644531,116.3482894897461,70.03058624267578,182.6699981689453,171.01974487304688,168.68304443359375,51.62575149536133
2020-05-04,178.81295776367188,118.98049926757812,77.87429809570312,75.71391296386719,69.21700286865234,367.510009765625,135.46632385253906,30.559175491333008,65.25983428955078,88.33252716064453,106.3673324584961,41.37956619262695,83.5281982421875,170.4241943359375,103.72624206542969,81.5104751586914,38.00877380371094,133.44000244140625,54.62799835205078,53.25391387939453,87.4033432006836,47.12460708618164,175.89999389648438,272.9410095214844,116.36724090576172,74.58573150634766,176.8300018310547,180.29299926757812,167.36245727539062,53.60201644897461
2020-05-11,177.34124755859375,120.48899841308594,84.6350326538086,75.32647705078125,68.65299987792969,365.29998779296875,137.05145263671875,31.31151580810547,68.14697265625,84.74078369140625,105.13809967041016,38.82194519042969,77.40101623535156,157.99562072753906,99.84957885742188,76.12312316894531,34.568397521972656,120.0,53.27799987792969,52.818119049072266,84.05060577392578,45.23134994506836,171.3300018310547,276.7070007324219,119.73120880126953,70.15094757080078,169.25,178.73446655273438,160.51023864746094,52.649105072021484
